,State,City,lat,lng,timezone,UTC,Elevation
128,VT,BURLINGTON,44.4877,-73.2314,America/New_York,-5,29.57
129,WA,ELLENSBURG,46.9994,-120.5477,America/Los_Angeles,-8,476.5
130,WA,OLYMPIA,47.0417,-122.8959,America/Los_Angeles,-8,9.6
131,WA,RICHLAND,46.2824,-119.2938,America/Los_Angeles,-8,123.36
132,WA,SEATTLE,47.6211,-122.3244,America/Los_Angeles,-8,89.51
133,WA,SPOKANE,47.6671,-117.433,America/Los_Angeles,-8,579.81
134,WI,LA CROSSE,43.824,-91.2268,America/Chicago,-6,193.63
135,WI,MADISON,43.0826,-89.3931,America/Chicago,-6,257.99
136,WI,MILWAUKEE,43.0642,-87.9673,America/Chicago,-6,216.83
137,WI,SHAWANO,44.7748,-88.5843,America/Chicago,-6,249.33
138,WV,CHARLESTON,38.3484,-81.6323,America/New_York,-5,182.17
139,WY,CASPER,42.842,-106.3207,America/Denver,-7,1571.15
